# Residuals   
# Time        	p_rgh         	Ux            	Uz            	alpha.water   	k             	omega         
0             	N/A	N/A	N/A	N/A	N/A
0.0903448     	2.422428e-06	1.851126e-03	2.087345e-03	1.319630e-07	3.740313e-03	1.331367e-02
0.0909885     	2.854509e-06	1.840210e-03	2.081417e-03	1.301827e-07	3.684785e-03	1.309803e-02
0.0916322     	2.871847e-06	1.832014e-03	2.075308e-03	1.264039e-07	3.630298e-03	1.288764e-02
0.0922759     	3.231773e-06	1.825082e-03	2.069668e-03	1.211916e-07	3.572650e-03	1.268010e-02
0.0929195     	3.619090e-06	1.818120e-03	2.065495e-03	1.171043e-07	3.515361e-03	1.247877e-02
0.0935632     	3.601513e-06	1.814072e-03	2.058376e-03	1.105731e-07	3.454081e-03	1.228246e-02
0.0942069     	3.906709e-06	1.807954e-03	2.045372e-03	1.049433e-07	3.388328e-03	1.209007e-02
0.0948506     	4.245128e-06	1.799432e-03	2.027136e-03	1.012771e-07	3.353979e-03	1.190273e-02
0.0954943     	4.200001e-06	1.789641e-03	1.986476e-03	9.539787e-08	3.408346e-03	1.172050e-02
0.0961379     	4.659364e-06	1.841834e-03	2.100147e-03	1.037265e-07	3.550497e-03	1.154471e-02
0.0967816     	3.536720e-06	2.288834e-03	2.740361e-03	1.198867e-07	3.609391e-03	1.136954e-02
0.0974253     	3.911367e-06	2.286406e-03	2.768060e-03	1.409792e-07	3.556787e-03	1.119941e-02
0.098069      	2.738122e-06	1.888385e-03	2.223156e-03	1.448372e-07	3.477529e-03	1.103275e-02
0.0987126     	2.438492e-06	1.809040e-03	2.049946e-03	1.407532e-07	3.391494e-03	1.086753e-02
0.0993563     	2.515847e-06	1.789127e-03	2.016797e-03	1.376462e-07	3.307795e-03	1.070804e-02
0.1           	2.463463e-06	1.777631e-03	1.992654e-03	1.302445e-07	3.229127e-03	1.055244e-02
0.100645      	2.707375e-06	1.771614e-03	1.981874e-03	1.215358e-07	3.158970e-03	1.042363e-02
0.10129       	2.946572e-06	1.764494e-03	1.974831e-03	1.132144e-07	3.082353e-03	1.027042e-02
0.101935      	3.031989e-06	1.757782e-03	1.980832e-03	1.095441e-07	3.011743e-03	1.012217e-02
0.102581      	3.097477e-06	1.754212e-03	1.985257e-03	1.049558e-07	2.945397e-03	9.976582e-03
0.103226      	3.287995e-06	1.750631e-03	1.987718e-03	1.016230e-07	2.890322e-03	9.834032e-03
0.103871      	3.674229e-06	1.747367e-03	1.987445e-03	9.872734e-08	2.841402e-03	9.691772e-03
0.104516      	3.516917e-06	1.741535e-03	1.985233e-03	9.786893e-08	2.791549e-03	9.554956e-03
0.105161      	3.390031e-06	1.736530e-03	1.981279e-03	9.580239e-08	2.743502e-03	9.420678e-03
0.105806      	3.326777e-06	1.730201e-03	1.975344e-03	9.401404e-08	2.701685e-03	9.289293e-03
0.106452      	4.053738e-06	1.722633e-03	1.968552e-03	9.285748e-08	2.650895e-03	9.158244e-03
0.107097      	3.872617e-06	1.719796e-03	1.965122e-03	9.281992e-08	2.647096e-03	9.030321e-03
0.107742      	3.499589e-06	1.735278e-03	1.993600e-03	9.139496e-08	2.680786e-03	8.905674e-03
0.108387      	3.223046e-06	1.826265e-03	2.162471e-03	8.929034e-08	2.718103e-03	8.784543e-03
0.109032      	3.269470e-06	1.909439e-03	2.298408e-03	1.005988e-07	2.729353e-03	8.664890e-03
0.109677      	2.965625e-06	1.834336e-03	2.204941e-03	1.162179e-07	2.716689e-03	8.549667e-03
0.110323      	2.268622e-06	1.761849e-03	2.077829e-03	1.271530e-07	2.685402e-03	8.435468e-03
0.110968      	2.040868e-06	1.735045e-03	2.023279e-03	1.332436e-07	2.648589e-03	8.324269e-03
0.111613      	1.577197e-06	1.725788e-03	2.003704e-03	1.351417e-07	2.607628e-03	8.213197e-03
0.112258      	1.746814e-06	1.718554e-03	1.992791e-03	1.367791e-07	2.565500e-03	8.105005e-03
0.112903      	1.431651e-06	1.711782e-03	1.983109e-03	1.364152e-07	2.524188e-03	7.998031e-03
0.113548      	1.739599e-06	1.703915e-03	1.977882e-03	1.360638e-07	2.485469e-03	7.893993e-03
0.114194      	1.899368e-06	1.697283e-03	1.973415e-03	1.349556e-07	2.446373e-03	7.789805e-03
0.114839      	1.733153e-06	1.692088e-03	1.971742e-03	1.357316e-07	2.409489e-03	7.689329e-03
0.115484      	1.828535e-06	1.689371e-03	1.967906e-03	1.345030e-07	2.372281e-03	7.589520e-03
0.116129      	1.734698e-06	1.685756e-03	1.968098e-03	1.335323e-07	2.337770e-03	7.492024e-03
0.116774      	1.392648e-06	1.683588e-03	1.968336e-03	1.320216e-07	2.305317e-03	7.396275e-03
0.117419      	1.340195e-06	1.681650e-03	1.968516e-03	1.309040e-07	2.274834e-03	7.302593e-03
0.118065      	2.164231e-06	1.679956e-03	1.967349e-03	1.298521e-07	2.242123e-03	7.208245e-03
0.11871       	1.698030e-06	1.676636e-03	1.967883e-03	1.305499e-07	2.211227e-03	7.116644e-03
0.119355      	1.528455e-06	1.674681e-03	1.965701e-03	1.297789e-07	2.181821e-03	7.026959e-03
0.12          	1.561606e-06	1.673040e-03	1.966349e-03	1.291832e-07	2.154159e-03	6.938979e-03
0.120645      	1.331063e-06	1.670769e-03	1.967991e-03	1.282369e-07	2.128631e-03	6.851668e-03
0.12129       	1.707259e-06	1.667264e-03	1.971433e-03	1.285343e-07	2.108039e-03	6.766718e-03
0.121935      	1.516555e-06	1.665016e-03	1.972012e-03	1.283504e-07	2.087635e-03	6.683099e-03
0.122581      	1.487853e-06	1.662543e-03	1.971275e-03	1.280241e-07	2.067468e-03	6.601323e-03
0.123226      	2.491632e-06	1.660139e-03	1.971460e-03	1.279551e-07	2.045219e-03	6.519032e-03
0.123871      	1.868373e-06	1.655962e-03	1.975076e-03	1.297244e-07	2.024279e-03	6.438895e-03
0.124516      	1.845710e-06	1.654720e-03	1.977177e-03	1.301534e-07	2.004500e-03	6.360629e-03
0.125161      	1.875864e-06	1.653162e-03	1.978932e-03	1.307412e-07	1.985655e-03	6.283823e-03
0.125806      	1.939673e-06	1.651409e-03	1.978547e-03	1.311051e-07	1.966063e-03	6.207221e-03
0.126452      	2.001674e-06	1.648363e-03	1.979405e-03	1.326455e-07	1.947048e-03	6.132724e-03
0.127097      	1.870604e-06	1.647071e-03	1.979014e-03	1.335501e-07	1.928113e-03	6.059391e-03
0.127742      	2.077173e-06	1.645013e-03	1.980660e-03	1.343890e-07	1.909604e-03	5.987501e-03
0.128387      	2.545889e-06	1.642818e-03	1.983331e-03	1.347456e-07	1.891175e-03	5.915399e-03
0.129032      	2.163433e-06	1.639396e-03	1.989126e-03	1.366374e-07	1.874444e-03	5.845097e-03
0.129677      	2.057271e-06	1.638771e-03	1.994902e-03	1.371510e-07	1.859634e-03	5.776539e-03
0.130323      	2.024425e-06	1.637749e-03	2.002656e-03	1.375830e-07	1.844207e-03	5.708959e-03
0.130968      	2.071287e-06	1.637003e-03	2.011288e-03	1.377626e-07	1.829215e-03	5.641932e-03
0.131613      	2.150624e-06	1.634907e-03	2.022162e-03	1.385635e-07	1.814503e-03	5.576150e-03
0.132258      	2.104094e-06	1.633304e-03	2.031185e-03	1.389221e-07	1.799573e-03	5.511838e-03
0.132903      	2.048503e-06	1.632073e-03	2.038755e-03	1.389007e-07	1.784866e-03	5.448304e-03
0.133548      	2.477856e-06	1.631839e-03	2.043461e-03	1.389436e-07	1.770105e-03	5.385232e-03
