alpha.water,yPlus,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,20.3212,28477.9,0.652376,28477.9,0,0,0,0.0256116,0.0256116,0.1,-0.026437,90,2
1,20.3212,28477.9,0.652376,28477.9,0,0,0,0.0256116,0.0256116,-0.1,-0.026437,91,2
1,19.6271,29010.2,0.694837,29010.2,0,0,0,0.0228241,0.0228241,0.1,-0.0250793,92,2
1,19.6271,29010.2,0.694837,29010.2,0,0,0,0.0228241,0.0228241,-0.1,-0.0250793,93,2
1,18.7394,29567.8,0.739316,29567.8,0,0,0,0.0201512,0.0201512,0.1,-0.0236801,94,2
1,18.7394,29567.8,0.739316,29567.8,0,0,0,0.0201512,0.0201512,-0.1,-0.0236801,95,2
1,17.6023,30148.3,0.785628,30148.3,0,0,0,0.0175955,0.0175955,0.1,-0.0222352,96,2
1,17.6023,30148.3,0.785628,30148.3,0,0,0,0.0175955,0.0175955,-0.1,-0.0222352,97,2
1,16.1443,30743.2,0.833083,30743.2,0,0,0,0.0151609,0.0151609,0.1,-0.0207402,98,2
1,16.1443,30743.2,0.833083,30743.2,0,0,0,0.0151609,0.0151609,-0.1,-0.0207402,99,2
1,14.3533,31336.2,0.880386,31336.2,0,0,0,0.0128531,0.0128531,0.1,-0.0191897,100,2
1,14.3533,31336.2,0.880386,31336.2,0,0,0,0.0128531,0.0128531,-0.1,-0.0191897,101,2
1,12.4693,31899.2,0.925298,31899.2,0,0,0,0.0106799,0.0106799,0.1,-0.0175783,102,2
1,12.4693,31899.2,0.925298,31899.2,0,0,0,0.0106799,0.0106799,-0.1,-0.0175783,103,2
1,11.5369,32397.4,0.965039,32397.4,0,0,0,0.0086521,0.0086521,0.1,-0.0159001,104,2
1,11.5369,32397.4,0.965039,32397.4,0,0,0,0.0086521,0.0086521,-0.1,-0.0159001,105,2
1,7.97026,32763.2,0.994225,32763.2,0,0,0,0.00678257,0.00678257,0.1,-0.0141485,106,2
1,7.97026,32763.2,0.994225,32763.2,0,0,0,0.00678257,0.00678257,-0.1,-0.0141485,107,2
1,5.78776,32892.9,1.00457,32892.9,0,0,0,0.00508856,0.00508856,0.1,-0.0123172,108,2
1,5.78776,32892.9,1.00457,32892.9,0,0,0,0.00508856,0.00508856,-0.1,-0.0123172,109,2
1,9.32189,32654.6,0.985563,32654.6,0,0,0,0.00359515,0.00359515,0.1,-0.0104064,110,2
1,9.32189,32654.6,0.985563,32654.6,0,0,0,0.00359515,0.00359515,-0.1,-0.0104064,111,2
1,13.0761,31877.1,0.923534,31877.1,0,0,0,0.00232655,0.00232655,0.1,-0.00841515,112,2
1,13.0761,31877.1,0.923534,31877.1,0,0,0,0.00232655,0.00232655,-0.1,-0.00841515,113,2
1,17.099,30417.5,0.807102,30417.5,0,0,0,0.00131115,0.00131115,0.1,-0.0063508,114,2
1,17.099,30417.5,0.807102,30417.5,0,0,0,0.00131115,0.00131115,-0.1,-0.0063508,115,2
1,22.3577,28180.3,0.628635,28180.3,0,0,0,0.000578324,0.000578324,0.1,-0.00423964,116,2
1,22.3577,28180.3,0.628635,28180.3,0,0,0,0.000578324,0.000578324,-0.1,-0.00423964,117,2
1,27.817,25194.1,0.390418,25194.1,0,0,0,0.000141814,0.000141814,0.1,-0.00211007,118,2
1,27.817,25194.1,0.390418,25194.1,0,0,0,0.000141814,0.000141814,-0.1,-0.00211007,119,2
1,32.8773,21699.2,0.111614,21699.2,0,0,0,0,0,0.1,0,120,2
1,32.8773,21699.2,0.111614,21699.2,0,0,0,0,0,-0.1,0,121,2
1,25.2108,15221.8,-0.405101,15221.8,0,0,0,1,1,-0.1,-1.66533e-17,122,2
1,25.2108,15221.8,-0.405101,15221.8,0,0,0,1,1,0.1,-1.65202e-17,123,2
1,19.0389,15990.7,-0.343768,15990.7,0,0,0,0.984536,0.984536,0.1,-0.00222545,124,2
1,19.0389,15990.7,-0.343768,15990.7,0,0,0,0.984536,0.984536,-0.1,-0.00222545,125,2
1,22.6763,16129,-0.332729,16129,0,0,0,0.969065,0.969065,0.1,-0.00440794,126,2
1,22.6763,16129,-0.332729,16129,0,0,0,0.969065,0.969065,-0.1,-0.00440794,127,2
1,24.2437,16202.8,-0.326841,16202.8,0,0,0,0.953589,0.953589,0.1,-0.00654887,128,2
1,24.2437,16202.8,-0.326841,16202.8,0,0,0,0.953589,0.953589,-0.1,-0.00654887,129,2
1,25.1361,16351.5,-0.314981,16351.5,0,0,0,0.938107,0.938107,0.1,-0.00864928,130,2
1,25.1361,16351.5,-0.314981,16351.5,0,0,0,0.938107,0.938107,-0.1,-0.00864928,131,2
1,25.6734,16499.9,-0.303143,16499.9,0,0,0,0.922619,0.922619,0.1,-0.0107103,132,2
1,25.6734,16499.9,-0.303143,16499.9,0,0,0,0.922619,0.922619,-0.1,-0.0107103,133,2
